w_0,w_1,w_2,w_3,b,theta_6
5.347415059417872,8.539357599777397,-6.867119030231328,-0.7646781892536648,5.644323135558445,1.356957219348295
5.071020267978401,-3.8817328573475995,3.7529815875574046,-0.08313619165304904,3.3096301375422525,-0.6990627601636956
0.36269163823640954,4.700902372257712,-2.7982147083918307,-6.950526139251255,4.672098345404488,0.407278355454075
4.746537966838311,3.3677764554968452,-9.740597424716439,0.4302495241433383,5.509243236474137,-0.24196657700098081
-1.4928714391236866,-0.7906077099819344,-2.8848903951610465,-2.725711892495377,3.4929463626224573,-0.4596243395662034
10.0303522052962,3.525733358378439,-1.7846467506731836,-4.188634793904679,0.26990978330228227,0.035090519058251335
-0.3790051568872075,1.7539545642219434,-4.573228296104987,3.551773226312163,5.1110399667452855,0.23096174725342916
3.718172562334173,9.23348156569006,0.7789766066819243,5.707634893105949,3.779072832625797,0.33943195945014143
3.213206232271389,-4.4232589258541095,3.9884733588845482,-5.24417528349123,2.9189915398188457,1.1622845952135674
1.8538024334786845,11.704066513361093,-0.4575537806628016,8.194375397160561,0.08605103539891504,-0.08931351540190788
-5.84696981002794,-0.7918270903203789,0.39349038918082585,-5.922441887775529,4.638518074394242,-1.3535675281208313
6.337409376806544,-1.8264723232165596,-2.604312112538863,-1.1749935051329958,3.9459174687360097,0.5120147229124132
-1.4139993033493963,-0.04447692870434766,-1.1793975959409855,3.55751282817271,5.848554870754026,-0.15544997695061888
3.9029836453242392,-0.3980400559933664,7.888145591924158,-0.23988734743259604,3.506047566512219,-0.6320403353332851
5.314108426456148,4.624074859911289,0.24201223758743243,0.6433405202055182,2.145621918871076,-0.04529826297309892
-3.31495654765418,-2.907327367940179,-8.151151968309074,-1.5872755087208557,0.3957180164630455,0.45281393073572557
3.422090690910975,0.49625512162476,-1.941248611334327,6.723490566365019,5.2622598997006715,-0.21312618666814465
-1.4887343623110465,-9.983447790759463,3.3520395066112063,-2.4028631746523934,3.2650418643350716,1.2447175210866401
-4.162613508579818,-6.031825868999433,0.45235318552727904,-5.588329353199739,0.17020735633094977,1.025206892272166
